Rank,College,Rating,Fees,Salary,Entrance Exam,State,Placement Percentage,Number of Companies Visited,Quality of Food,Hostel Fees,Safety Details
91,Acharya Institute of Technology,4.1,?4.50 Lakh,?5.00 Lakh,CET,Karnataka,62%,95,Satisfactory,"1,50,000",Good
92,BMS College of Engineering,4.2,?7.00 Lakh,?6.50 Lakh,CET,Karnataka,68%,100,Good,"1,50,000",Very Good
93,CMR Institute of Technology,4.1,?6.50 Lakh,?6.00 Lakh,CET,Karnataka,65%,90,Good,"1,50,000",Good
94,Sai Vidya Institute of Technology,4,?5.50 Lakh,?5.50 Lakh,CET,Karnataka,60%,90,Satisfactory,"1,50,000",Very Good
95,East West Institute of Technology,4.1,?6.00 Lakh,?5.00 Lakh,CET,Karnataka,62%,90,Satisfactory,"1,50,000",Good
96,Dayananda Sagar College of Engineering,4,?5.50 Lakh,?5.50 Lakh,CET,Karnataka,60%,90,Satisfactory,"1,50,000",Very Good
97,International Institute of Information Technology,4.2,?4.50 Lakh,?4.80 Lakh,JEE Main,Andhra Pradesh,64%,95,Satisfactory,"1,50,000",Very Good
98,Narayana Engineering College,4.1,?4.00 Lakh,?4.50 Lakh,EAMCET,Andhra Pradesh,62%,90,Satisfactory,"1,50,000",Very Good
99,Acharya College of Engineering,4,?5.00 Lakh,?5.00 Lakh,EAMCET,Andhra Pradesh,60%,90,Satisfactory,"1,50,000",Good
100,Kakatiya Institute of Technology,4.2,?5.00 Lakh,?5.00 Lakh,EAMCET,Telangana,65%,100,Satisfactory,"1,50,000",Good
,,,,,,,,,,,
